id,ms,date,puzzle,scramble,plus2,dnf
a5mtWlZ04,21733,2020-11-10T21:28:45.599Z,3x3x3,"B2 D' R2 D2 L2 B2 U F2 L2 D R2 F' U' B' U2 B2 U' F' R F U2",,
-vYbxNC6q,26664,2020-11-10T21:29:38.088Z,3x3x3,"F2 L2 R' U2 F2 R2 F2 U2 B2 F2 U2 B' D2 L' U2 L' F D' U F U'",,
thccV3gYF,20929,2020-11-10T21:30:18.586Z,3x3x3,"U B2 U L2 B2 R2 D2 L2 U F2 U' F' U F R' B' U2 B2 L2 F' U'",,
NQuuBdSsC,23741,2020-11-10T21:31:13.556Z,3x3x3,"B2 U' F2 U B2 L2 R2 U2 B2 L2 B L' U' L D' L' R2 B2 R2 F'",,
vKVv-TBu2,22289,2020-11-10T21:32:08.750Z,3x3x3,"R D2 L B2 L' B2 U2 R U2 R U2 F' D' L' U' B U2 F L' B F'",,
VDOir3zD7,23711,2020-11-10T21:32:52.190Z,3x3x3,"F2 R' F' D L' U D2 B2 D2 R L2 U2 B2 L2 F' B2 R2 B' L2 D2 F2",,
MMT7Uwi0a,22365,2020-11-10T21:35:16.554Z,3x3x3,"D2 R2 F2 D2 R2 U L2 B2 D2 R2 F' D2 F' L' R' D' U' F R B",,
OSJs9jBRK,25718,2020-11-10T21:36:02.488Z,3x3x3,"R2 D F2 D2 F2 L2 F2 U' B2 F2 R2 F' U2 F R D' L2 B F R D2",,
IXJMIbS56,24415,2020-11-10T21:37:10.027Z,3x3x3,"D' F' R B' U F' R' D' L2 U F U2 R2 L2 U2 L2 B U2 B R2 U2",,
E3PcWN-QQ,20367,2020-11-10T21:37:57.115Z,3x3x3,"U2 R' F' B' R' F2 U F' D' L B2 L2 D2 F2 R2 U L2 U R2 U R2",,
yMMIbcwDG,22839,2020-11-10T21:38:48.704Z,3x3x3,"R' D2 R U2 R F2 U2 L F2 R2 D2 F R F2 L' F' R' U' B2 L",,
unRwXgRPa,19158,2020-11-10T21:39:47.434Z,3x3x3,"R2 B2 U F2 R2 D2 F2 U L2 D' U2 B F' R' D F2 U R2 B F' D'",,
